NBI-USA,XPH-USA,IHE-USA
-1.9877017,-2.4103165,-1.4989793
-0.14412999,-0.33519268,-0.31659007
0.8007288,1.3877034,1.4565587
1.7066836,1.9047618,1.070261
-0.77154636,-0.9717047,-1.1870444
-1.6356647,-1.6858637,-0.61106086
0.333488,-0.4475534,0.5403161
-0.8170843,-0.7220149,-0.654912
-1.9753098,-2.0136118,-0.83189607
-0.24410486,0.21816492,-0.3396511
-2.1119297,-1.5570521,-1.4353156
-0.88174343,-0.93084574,-0.51741004
0.7935047,1.4570832,1.0476351
0.31104088,-0.6434262,-0.05878806
-0.82731843,-0.61284304,-0.20743012
0.06915331,-0.29224157,-0.18102527
0.79416037,0.8844733,-0.11126399
0.16280413,-0.16055107,-0.5268812
-0.66903234,-0.6116986,-0.19276738
1.7084837,1.7591238,1.336968
1.269865,3.2411337,1.5115142
-0.49845576,-0.2230227,-0.37389994
-0.19970536,1.4423013,0.39776564
1.1909008,0.65470934,0.89737177
0.21549463,0.2854705,0.049841404
-1.8730462,-1.2126327,0.13571978
-0.688076,-0.1970172,-0.13626218
0.7289648,0.9661794,0.72233677
0.7417083,0.80206394,0.5958438
-0.99219084,-2.1306396,-0.850147
0.9044528,0.79118013,1.0630608
-2.669561,-2.6142,-2.395004
-0.94451904,-0.6017566,-0.2127409
1.0863066,0.7162571,0.50605536
-1.2171984,-0.76545477,-1.1205852
1.1514664,1.8374324,1.3138175
2.228284,1.325798,1.2580514
-0.17411113,-0.70028305,0.007224083
-2.4499297,-3.2258034,-2.8451025
1.1734128,1.1297226,0.7716298
-1.1218846,-1.5972435,-1.3134003
-0.45822263,-1.1993647,-0.18130541
1.8050075,2.0397067,1.1925697
0.17236471,0.13616085,-0.19016266
1.5725613,0.300467,0.83806515
-2.666819,-2.8654754,-2.0658016
-1.2926996,-0.6851196,-0.33275485
0.6546736,-0.052672625,-0.1522839
-0.6444156,-0.9908676,-0.81015825
0.981462,0.86796284,-0.9339392
0.0951767,0.10532141,0.08380413
0.97215176,1.4965296,0.7844448
-1.3605535,-1.5781224,-0.41784048
0.3599286,0.98273754,0.43103695
0.17594099,0.15962124,0.4549265
0.23317337,-0.052917004,-0.37082434
-1.5388131,-0.8439183,-0.78638196
0.8353472,0.45021772,0.44455528
0.114011765,-1.0482192,-0.41938424
-0.55651665,-0.7542312,-0.4597783
0.6290674,-0.18172264,0.29103756
-1.3445497,-0.38788915,-1.4944375
-1.45064,-1.6280949,-1.4984488
-0.28730035,-0.7573843,0.026416779
1.0601282,1.1233091,0.71822405
-1.5435636,-1.7310619,-1.008743
-1.4298737,-1.6045392,-1.2972832
1.096797,0.72102547,0.9230733
-0.007861853,0.049757957,0.27183294
